iter	Passed	Remaining
673	916	443
674	917	441
675	918	439
676	918	438
677	919	436
678	920	435
679	922	433
680	923	432
681	924	431
682	925	429
683	926	428
684	927	426
685	930	426
686	932	424
687	933	423
688	934	421
689	935	420
690	936	418
691	937	417
692	938	415
693	940	414
694	941	413
695	942	411
696	943	410
697	944	408
698	945	407
699	946	405
700	947	404
701	951	403
702	952	402
703	954	401
704	955	400
705	957	398
706	958	397
707	959	395
708	961	394
709	962	393
710	963	391
711	965	390
712	966	388
713	969	388
714	970	386
715	972	385
716	973	384
717	974	382
718	975	381
719	976	379
720	977	378
721	978	376
722	979	375
723	980	373
724	982	372
725	984	371
726	1020	383
727	1021	381
728	1022	380
729	1024	378
730	1025	377
731	1028	376
732	1029	375
733	1031	373
734	1032	372
735	1034	370
736	1035	369
737	1036	368
738	1038	366
739	1039	365
740	1042	364
741	1043	362
742	1045	361
743	1048	360
744	1049	359
745	1051	357
746	1053	356
747	1055	355
748	1056	354
749	1057	352
750	1059	351
751	1060	349
752	1061	348
753	1063	346
754	1064	345
755	1067	344
756	1068	343
757	1070	341
758	1072	340
759	1073	339
760	1075	337
761	1076	336
762	1077	334
763	1078	333
764	1081	332
765	1083	330
766	1089	331
767	1091	329
768	1092	328
769	1093	326
770	1094	325
771	1096	323
772	1097	322
773	1100	321
774	1101	319
775	1105	319
776	1106	317
777	1107	316
778	1109	314
779	1110	313
780	1112	311
781	1113	310
782	1114	308
783	1116	307
784	1117	306
785	1119	304
786	1120	303
787	1121	301
788	1122	300
789	1123	298
790	1124	297
791	1125	295
792	1126	293
793	1127	292
794	1127	290
795	1128	289
796	1129	287
797	1130	286
798	1131	284
799	1132	283
800	1133	281
801	1136	280
802	1138	279
803	1139	277
804	1139	276
805	1140	274
806	1141	273
807	1142	271
808	1143	269
809	1144	268
810	1144	266
811	1145	265
812	1146	263
813	1147	262
814	1148	260
815	1149	259
816	1150	257
817	1150	256
818	1151	254
819	1154	253
820	1155	251
821	1156	250
822	1157	248
823	1157	247
824	1158	245
825	1159	244
826	1160	242
827	1161	241
828	1162	239
829	1163	238
830	1164	236
831	1164	235
832	1165	233
833	1166	232
834	1167	230
835	1168	229
836	1169	227
837	1170	226
838	1170	224
839	1172	223
840	1173	221
841	1174	220
842	1174	218
843	1175	217
844	1176	215
845	1177	214
846	1178	212
847	1179	211
848	1179	209
849	1180	208
850	1181	206
851	1182	205
852	1183	203
853	1184	202
854	1185	200
855	1185	199
856	1186	198
857	1187	196
858	1190	195
859	1191	193
860	1192	192
861	1193	191
862	1194	189
863	1194	188
